Time,1,2,3,4
2.640000,3.223810,-10.213793,-19.384071,-2.359813
2.640500,3.223810,-10.213793,-20.792035,-6.610280
2.641000,1.785714,-11.643103,-19.384071,-2.359813
2.641500,-11.157143,-10.213793,-17.976106,-6.610280
2.642000,-11.157143,-10.213793,-17.976106,-15.111215
2.642500,0.347619,-8.784483,-20.792035,-0.942991
2.643000,4.661905,-10.213793,-23.607965,3.307477
2.643500,1.785714,-8.784483,-13.752212,-0.942991
2.644000,1.785714,-8.784483,-13.752212,-8.027103
2.644500,3.223810,-8.784483,-5.304425,-2.359813
2.645000,0.347619,-10.213793,-13.752212,-2.359813
2.645500,4.661905,-7.355172,-15.160177,-2.359813
2.646000,1.785714,2.650000,-13.752212,-2.359813
2.646500,-2.528571,-7.355172,-16.568142,-2.359813
2.647000,-5.404762,-10.213793,-17.976106,-6.610280
2.647500,23.357143,-8.784483,-15.160177,-0.942991
2.648000,-1.090476,-8.784483,-15.160177,-2.359813
2.648500,3.223810,-8.784483,-13.752212,-10.860748
2.649000,6.100000,-10.213793,-25.015929,-8.027103
2.649500,3.223810,-8.784483,-20.792035,-2.359813
2.650000,3.223810,-7.355172,-17.976106,-0.942991
2.650500,4.661905,-11.643103,-17.976106,1.890654
2.651000,4.661905,-25.936207,-17.976106,-0.942991
2.651500,4.661905,-4.496552,-19.384071,-3.776636
2.652000,0.347619,-15.931034,-19.384071,-3.776636
2.652500,-2.528571,-24.506897,-19.384071,-0.942991
2.653000,8.976190,-23.077586,-17.976106,-2.359813
2.653500,14.728571,-23.077586,-19.384071,0.473832
2.654000,4.661905,-24.506897,-20.792035,-10.860748
2.654500,4.661905,-23.077586,-16.568142,-9.443925
2.655000,1.785714,-21.648276,-26.423894,-0.942991
2.655500,3.223810,-23.077586,-15.160177,-8.027103
2.656000,3.223810,-20.218966,-2.488496,3.307477
2.656500,1.785714,-17.360345,-15.160177,-0.942991
2.657000,1.785714,-31.653448,-16.568142,-2.359813
2.657500,4.661905,-23.077586,-16.568142,0.473832
2.658000,8.976190,-20.218966,-15.160177,-0.942991
2.658500,-6.842857,-17.360345,-13.752212,-0.942991
2.659000,7.538095,-21.648276,-13.752212,-3.776636
2.659500,3.223810,-17.360345,-13.752212,4.724299
2.660000,0.347619,-21.648276,-16.568142,-9.443925
2.660500,0.347619,-21.648276,-15.160177,14.642056
2.661000,0.347619,-18.789655,0.327434,-2.359813
2.661500,0.347619,-15.931034,-20.792035,-2.359813
2.662000,0.347619,-31.653448,-15.160177,-0.942991
2.662500,0.347619,-5.925862,-15.160177,-2.359813
2.663000,1.785714,-25.936207,-17.976106,-2.359813
2.663500,-1.090476,-21.648276,-16.568142,-0.942991
2.664000,6.100000,-18.789655,-15.160177,-0.942991
2.664500,-1.090476,-17.360345,-12.344248,-9.443925
